,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,offensive_rebounds,personal_fouls,steals,team,turnovers,Date
0,30,83,25,32,3,36,43,21,11,240,9,16,4,Team.PORTLAND_TRAIL_BLAZERS,8,2019-03-27
1,22,91,19,23,0,28,39,15,5,240,16,19,4,Team.CHICAGO_BULLS,8,2019-03-27
2,30,84,15,31,7,40,45,13,15,240,6,19,9,Team.GOLDEN_STATE_WARRIORS,14,2019-03-27
3,22,100,21,31,5,32,39,15,10,240,19,16,11,Team.MEMPHIS_GRIZZLIES,9,2019-03-27
4,26,92,11,31,6,37,40,6,13,240,8,17,4,Team.INDIANA_PACERS,11,2019-03-27
5,29,92,19,36,7,35,41,12,13,240,9,14,7,Team.OKLAHOMA_CITY_THUNDER,6,2019-03-27
6,18,90,43,25,3,37,43,29,9,240,15,20,10,Team.WASHINGTON_WIZARDS,10,2019-03-27
7,22,87,26,37,7,37,43,21,14,240,11,28,9,Team.PHOENIX_SUNS,15,2019-03-27
8,21,97,24,27,5,32,37,17,9,240,8,23,9,Team.LOS_ANGELES_LAKERS,4,2019-03-27
9,33,83,36,32,5,46,41,23,10,240,8,18,4,Team.UTAH_JAZZ,11,2019-03-27
